Key,en,es,ar,fr
All Profits,All Profits,Todas las ganancias,جميع الأرباح,Tous les bénéfices
Setup Module,Setup Module,Módulo de configuración,وحدة الإعداد,Module de configuration
Auth Section,Auth Section,Sección de autores,قسم المصادقة,Section Auth
APP Section,APP Section,Sección de la aplicación,قسم التطبيق,Section d'application
Security Section,Security Section,Sección de seguridad,قسم الأمن,Section de sécurité
Overview Section,Overview Section,Sección de descripción general,نظرة عامة,Présentation de la section
Why Choose Us,Why Choose Us,Por qué elegirnos,لماذا أخترتنا,Pourquoi nous choisir
Brand Section,Brand Section,Sección de la marca,قسم العلامة التجارية,Section de marque
Merchant Section,Merchant Section,Sección comercial,قسم التاجر,Section marchande
Merchant App,Merchant App,Aplicación comercial,تطبيق التاجر,Application marchande
Developer Intro,Developer Intro,Introducción al desarrollador,مقدمة المطور,Intro de développeur
Developer FAQ,Developer FAQ,Preguntas frecuentes para desarrolladores,مطور الأسئلة الشائعة,FAQ du développeur
Useful LInks,Useful LInks,Enlaces útiles,روابط مفيدة,Liens utiles
Contact Messages,Contact Messages,Mensajes de contacto,اتصل بالرسائل,Messages de contact
Add Money Balance,Add Money Balance,Agregar saldo de dinero,أضف رصيد الأموال,Ajouter un solde d'argent
Money Out Balance,Money Out Balance,Balance de dinero fuera,المال الرصيد,Solde de l'argent
This Month,This Month,Este mes,هذا الشهر,Ce mois-ci
Last Month,Last Month,El mes pasado,الشهر الماضي,Le mois dernier
Total Profit,Total Profit,Beneficio total,اجمالي الربح,Bénéfice total
Completed,Completed,Terminado,مكتمل,Complété
Pending,Pending,Pendiente,قيد الانتظار,En attente
Inactive,Inactive,Inactivo,غير نشط,Inactif
Remittance Balance,Remittance Balance,Saldo de remesas,توازن التحويلات,Équilibre des envois de fonds
Unverified,Unverified,Inconfirmado,لم يتم التحقق منه,Non vérifié
Total Users,Total Users,Usuarios totales,إجمالي المستخدمين,Total utilisateurs
Total Merchants,Total Merchants,Comerciantes totales,إجمالي التجار,Total des marchands
Total Supports Tickets,Total Supports Tickets,Totales de soporte de boletos,إجمالي يدعم التذاكر,Total des billets de support
Flutterwave Balance,Flutterwave Balance,Balance de flutero,توازن Flutterwave,Balance de Flutterwave
Stripe Issuing Balance,Stripe Issuing Balance,Saldo de emisión de rayas,رصيد إصدار الشريط,Stripe émettant l'équilibre
Sudo Balance,Sudo Balance,Balance de sudo,توازن سودو,Balance sudo
Strowallet Balance,Strowallet Balance,Balance de Strowallet,رصيد سترواليت,Équilibre strowallet
LIVE TIME SUPERADMIN PROFITS BALANCE,LIVE TIME SUPERADMIN PROFITS BALANCE,Balance de ganancias de Superadmin en vivo,توازن أرباح Superadmin Time,Temps en direct Superadmin Profits Balance
Monthly Add Money Chart,Monthly Add Money Chart,Gráfico mensual de dinero Agregar,شهري إضافة الرسم البياني المال,Ajouter un tableau de fonds mensuel
View,View,Vista,منظر,Voir
Monthly Virtual Card Chart,Monthly Virtual Card Chart,Gráfico de tarjeta virtual mensual,مخطط البطاقة الافتراضية الشهرية,Graphique de cartes virtuelles mensuelles
User Analytics,User Analytics,Análisis de usuarios,تحليلات المستخدم,Analytique des utilisateurs
View Users,View Users,Ver usuarios,عرض المستخدمين,Afficher les utilisateurs
Merchant Analytics,Merchant Analytics,Análisis de comerciantes,التحليلات التجارية,Analytique marchande
View Merchants,View Merchants,Ver comerciantes,عرض التجار,Voir les marchands
Latest Add Money,Latest Add Money,Último agregar dinero,أحدث إضافة المال,Dernier Ajouter de l'argent
success,success,éxito,نجاح,succès
Successfully updated password. Please login,Successfully updated password. Please login,Contraseña actualizada correctamente. Por favor Iniciar sesión,تم تحديث كلمة المرور بنجاح. الرجاء تسجيل الدخول,Mot de passe mis à jour avec succès. Veuillez vous connecter
Complete Logs,Complete Logs,Registros completos,سجلات كاملة,Compléter les journaux
Add money details for,Add money details for,Agregar detalles de dinero para,إضافة تفاصيل المال ل,Ajouter des détails d'argent pour
Add Money request approved successfully,Add Money request approved successfully,Agregar solicitud de dinero aprobada con éxito,أضف طلب الأموال المعتمدة بنجاح,Ajouter la demande d'argent approuvée avec succès
Add Money request rejected successfully,Add Money request rejected successfully,Agregar solicitud de dinero rechazada con éxito,أضف طلب الأموال المرفض بنجاح,Ajouter une demande d'argent rejetée avec succès
error,error,error,خطأ,erreur
Ops! Failed to send mail. Please recheck your mail credentials or reconfigure mail,Ops! Failed to send mail. Please recheck your mail credentials or reconfigure mail,¡Ops! No se pudo enviar correo. Vuelva a verificar sus credenciales de correo o reconfigurar el correo,العمليات! فشل في إرسال البريد. يرجى إعادة فحص بيانات اعتماد البريد الخاصة بك أو إعادة تكوين البريد,OPS! Échec de l'envoi du courrier. Veuillez revérifier vos informations d'identification de courrier ou reconfigurer le courrier
Email send successfully!,Email send successfully!,¡Envíe el correo electrónico con éxito!,إرسال البريد الإلكتروني بنجاح!,Email Envoyez avec succès!
Role assign failed!,Role assign failed!,¡Falló el rol de asignación!,فشل تعيين الدور!,Le rôle attribution a échoué!
New admin created successfully!,New admin created successfully!,¡Nuevo administrador creado con éxito!,تم إنشاء مسؤول جديد بنجاح!,Le nouvel administrateur a créé avec succès!
warning,warning,advertencia,تحذير,avertissement
Ops! Target admin not found!,Ops! Target admin not found!,¡Ops! ¡El administrador objetivo no se encuentra!,العمليات! المسؤول الهدف لم يتم العثور عليه!,OPS! Admin cible non trouvé!
Failed to assign role.,Failed to assign role.,No se pudo asignar el rol.,فشل في تعيين الدور.,Échec de l'attribution du rôle.
Admin information updated successfully!,Admin information updated successfully!,Información de administrador actualizada con éxito!,معلومات المسؤول تحديث بنجاح!,Informations d'administration mises à jour avec succès!
Admin Roles,Admin Roles,Roles de administración,أدوار المشرف,Rôles administratifs
Admin not found!,Admin not found!,Admin no encontrado!,المسؤول لم يتم العثور عليه!,Admin non trouvé!
Admin status updated successfully!,Admin status updated successfully!,Estado de administrador actualizado con éxito!,تم تحديث حالة المسؤول بنجاح!,Statut d'administration mis à jour avec succès!
Admin role created successfully!,Admin role created successfully!,¡Rol de administración creado con éxito!,تم إنشاء دور المسؤول بنجاح!,Rôle de l'administrateur créé avec succès!
Ops! Target not found!,Ops! Target not found!,¡Ops! ¡Objetivo no encontrado!,العمليات! الهدف لم يتم العثور عليه!,OPS! Cible introuvable!
Ops! Target role not found!,Ops! Target role not found!,¡Ops! ¡Rol de objetivo no encontrado!,العمليات! الدور المستهدف لم يتم العثور عليه!,OPS! Rôle cible introuvable!
Admin role updated successfully!,Admin role updated successfully!,¡Rol de administración actualizado con éxito!,تم تحديث دور المسؤول بنجاح!,Rôle de l'administrateur mis à jour avec succès!
Super admin role can,Super admin role can,El rol super administrador puede,يمكن لدور المشرف السوبر,Le rôle du super administrateur peut
Admin role deleted successfully!,Admin role deleted successfully!,¡Rol de administración eliminado con éxito!,تم حذف دور المسؤول بنجاح!,Rôle de l'administrateur supprimé avec succès!
Permission Group,Permission Group,Grupo de permisos,مجموعة الإذن,Groupe d'autorisation
Permission created successfully!,Permission created successfully!,¡Permiso creado con éxito!,إذن تم إنشاؤه بنجاح!,Permission créée avec succès!
Target not found!,Target not found!,¡Objetivo no encontrado!,الهدف لم يتم العثور عليه!,Cible introuvable!
Permission not found!,Permission not found!,¡Permiso no encontrado!,إذن لم يتم العثور عليه!,Permission introuvable!
